page,product_index,title,price,description,reviews,rating,stock_status,promotions,visual_quality,page_layout
1,1,Asus VivoBook X4,295.99,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",1,5,Inconnu,non,mauvaise,Layout de catalogue standard avec une barre de navigation latérale à gauche (filtrage par catégorie: Computers/Laptops) et une grille de produits en 3 colonnes à droite. Les images produits sont remplacées par une icône générique de panier.
1,2,Prestigio SmartB,299,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365",9,5,Inconnu,non,mauvaise,Layout de catalogue standard avec une barre de navigation latérale à gauche (filtrage par catégorie: Computers/Laptops) et une grille de produits en 3 colonnes à droite. Les images produits sont remplacées par une icône générique de panier.
1,3,Prestigio SmartB,299,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1",9,5,Inconnu,non,mauvaise,Layout de catalogue standard avec une barre de navigation latérale à gauche (filtrage par catégorie: Computers/Laptops) et une grille de produits en 3 colonnes à droite. Les images produits sont remplacées par une icône générique de panier.
1,4,Aspire E1-510,306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",2,5,Inconnu,non,mauvaise,Layout de catalogue standard avec une barre de navigation latérale à gauche (filtrage par catégorie: Computers/Laptops) et une grille de produits en 3 colonnes à droite. Les images produits sont remplacées par une icône générique de panier.
1,5,Lenovo V110-15IA,321.94,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",12,5,Inconnu,non,mauvaise,Layout de catalogue standard avec une barre de navigation latérale à gauche (filtrage par catégorie: Computers/Laptops) et une grille de produits en 3 colonnes à droite. Les images produits sont remplacées par une icône générique de panier.
1,6,Lenovo V110-15IA,356.49,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home,",12,4,Inconnu,non,mauvaise,Layout de catalogue standard avec une barre de navigation latérale à gauche (filtrage par catégorie: Computers/Laptops) et une grille de produits en 3 colonnes à droite. Les images produits sont remplacées par une icône générique de panier.
2,1,Hewlett Packard,364.46,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",11,5,Inconnu,non,mauvaise,"Grille de 3 colonnes pour les produits, avec une barre latérale de navigation à gauche. Toutes les images produits sont des icônes génériques de panier d'achat."
2,2,Acer Aspire 3 A3,372.7,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",3,5,Inconnu,non,mauvaise,"Grille de 3 colonnes pour les produits, avec une barre latérale de navigation à gauche. Toutes les images produits sont des icônes génériques de panier d'achat."
2,3,Acer Aspire A315,379.94,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",3,5,Inconnu,non,mauvaise,"Grille de 3 colonnes pour les produits, avec une barre latérale de navigation à gauche. Toutes les images produits sont des icônes génériques de panier d'achat."
2,4,Acer Aspire ES1-,379.95,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",3,5,Inconnu,non,mauvaise,"Grille de 3 colonnes pour les produits, avec une barre latérale de navigation à gauche. Toutes les images produits sont des icônes génériques de panier d'achat."
2,5,Acer Aspire 3 A3,391.48,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",3,4,Inconnu,non,mauvaise,"Grille de 3 colonnes pour les produits, avec une barre latérale de navigation à gauche. Toutes les images produits sont des icônes génériques de panier d'achat."
2,6,Acer Aspire 3 A3,393.88,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",3,5,Inconnu,non,mauvaise,"Grille de 3 colonnes pour les produits, avec une barre latérale de navigation à gauche. Toutes les images produits sont des icônes génériques de panier d'achat."
